index,x_coordinates,y_coordinates,,
0,-0.149588,-0.149533067,,
1,0.117488632,0.014296396,,
2,0.071546068,0.09865566,,
3,0.012923063,-0.146465957,,
4,0.05994232,0.008803064,,
5,0.029906613,0.101814325,,
6,-0.016420484,0.040572832,,
7,0.091990417,0.038384655,,
8,-0.051989807,-0.049655141,,
9,0.017693106,-0.094883572,,
10,-0.099122593,-0.101832636,,
11,0.108085879,0.108891568,,
12,-0.034163945,0.071216468,,
13,-0.144451735,-0.141485336,,
14,0.144378491,-0.049270608,,
15,0.013234352,0.030703146,,
16,0.122954497,0.014003418,,
17,0.128026673,-0.13460036,,
18,-0.089042329,-0.05552385,,
19,0.115153966,-0.05410474,,
20,-0.048931852,-0.139910581,,
21,0.125444807,0.108909879,,
22,0.023195593,-0.001872311,,
23,-0.084382153,0.044070254,,
24,-0.01362804,-0.04624012,,
25,0.064606159,-0.032900479,,
26,-0.095414594,-0.005241554,,
27,-0.12780694,-0.126131474,,
28,0.122020631,-0.025005646,,
29,-0.081223487,-0.007960753,,
30,-0.07265389,-0.017702261,,
31,-0.057574694,0.029457991,,
32,0.112782678,0.067865535,,
33,-0.108900723,0.062033448,,
34,0.02943968,0.054086428,,
35,0.020183416,-0.034069643,,
36,0.103819391,0.141457869,,
37,-0.083970153,-0.133465072,,
38,0.047888119,0.131734672,,
39,0.023232215,-0.111482589,,
40,0.10520188,0.090012818,,
41,-0.076975311,-0.066931669,,
42,-0.134856716,-0.078092288,,
43,-0.058334605,-0.130425428,,
44,-0.115675832,-0.070621357,,
45,0.046954253,0.055450606,,
46,0.015449995,0.06909238,,
47,0.006367687,-0.12210303,,
48,-0.002055422,0.076508377,,
49,0.119521165,-0.067215491,,
50,-0.13368,0.138702,,
51,-0.127965,0.004035,,
52,0.07872,-0.10545,,
53,-0.05448,0.10929,,
