coord_type,sigma,variance,weight
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
E,0.4,0.16000000000000003,6.249999999999999
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
N,0.5,0.25,4.0
